timestamp,sensor_id,zone,gas_ppm,pressure,temp,humidity
2026-01-20T12:03:11.264764,SENSOR_000,ZONE_A,44.62,101.8,27.07,60.97
2026-01-20T12:03:11.264764,SENSOR_003,ZONE_D,40.92,101.92,26.04,43.9
2026-01-20T12:03:11.264764,SENSOR_002,ZONE_C,53.83,98.8,24.05,49.03
2026-01-20T12:03:11.264764,SENSOR_004,ZONE_A,42.83,97.44,21.6,33.89
2026-01-20T12:03:11.264764,SENSOR_001,ZONE_B,42.27,99.35,29.83,49.56
2026-01-20T12:03:21.264764,SENSOR_000,ZONE_A,54.65,99.73,25.12,49.49
2026-01-20T12:03:21.264764,SENSOR_002,ZONE_C,44.99,99.95,27.66,59.7
2026-01-20T12:03:21.264764,SENSOR_003,ZONE_D,44.73,103.41,26.2,45.17
2026-01-20T12:03:21.264764,SENSOR_004,ZONE_A,53.1,105.81,27.95,48.6
2026-01-20T12:03:21.264764,SENSOR_001,ZONE_B,60.95,105.98,25.31,48.63
2026-01-20T12:03:31.264764,SENSOR_002,ZONE_C,66.64,101.28,21.17,49.52
2026-01-20T12:03:31.264764,SENSOR_004,ZONE_A,50.97,104.78,23.81,36.01
2026-01-20T12:03:31.264764,SENSOR_003,ZONE_D,51.93,105.42,26.96,45.22
2026-01-20T12:03:31.264764,SENSOR_000,ZONE_A,60.3,100.23,26.5,44.08
2026-01-20T12:03:31.264764,SENSOR_001,ZONE_B,50.43,104.11,20.57,53.57
2026-01-20T12:03:41.264764,SENSOR_000,ZONE_A,52.68,101.67,23.26,50.94
2026-01-20T12:03:41.264764,SENSOR_002,ZONE_C,47.88,100.23,27.97,41.84
2026-01-20T12:03:41.264764,SENSOR_003,ZONE_D,54.09,101.86,24.36,41.28
2026-01-20T12:03:41.264764,SENSOR_001,ZONE_B,50.06,103.2,21.96,62.8
2026-01-20T12:03:41.264764,SENSOR_004,ZONE_A,53.71,101.46,22.47,59.29
2026-01-20T12:03:51.264764,SENSOR_004,ZONE_A,67.11,101.55,24.13,35.54
2026-01-20T12:03:51.264764,SENSOR_002,ZONE_C,57.88,102.69,26.94,44.62
2026-01-20T12:03:51.264764,SENSOR_000,ZONE_A,64.71,101.22,27.25,63.1
2026-01-20T12:03:51.264764,SENSOR_001,ZONE_B,44.82,101.08,30.43,64.99
2026-01-20T12:03:51.264764,SENSOR_003,ZONE_D,66.23,101.83,21.88,47.2
2026-01-20T12:04:01.264764,SENSOR_003,ZONE_D,40.98,99.44,26.72,35.22
2026-01-20T12:04:01.264764,SENSOR_002,ZONE_C,51.52,105.39,21.13,51.9
2026-01-20T12:04:01.264764,SENSOR_000,ZONE_A,44.78,101.63,25.89,51.89
2026-01-20T12:04:01.264764,SENSOR_001,ZONE_B,472.76,97.06,50.61,75.46
2026-01-20T12:04:01.264764,SENSOR_004,ZONE_A,59.15,97.35,27.68,38.12
2026-01-20T12:04:11.264764,SENSOR_004,ZONE_A,39.52,100.3,24.75,70.35
2026-01-20T12:04:11.264764,SENSOR_001,ZONE_B,38.18,103.68,25.31,64.49
2026-01-20T12:04:11.264764,SENSOR_003,ZONE_D,57.91,102.58,29.61,63.44
2026-01-20T12:04:11.264764,SENSOR_000,ZONE_A,966.48,118.23,31.58,83.44
